Date : 2021-02-27 19:04:41
Directory : c:\Users\vardy\OneDrive\GardenHouse\Assets
Total : 1232 files,  212424 codes, 39564 comments, 40969 blanks, all 292957 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs                                 | C#        |         52 |         14 |         13 |         79 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\RecastTileUpdate.cs                             | C#        |         26 |         17 |          6 |         49 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\RecastTileUpdateHandler.cs                      | C#        |         79 |         54 |         27 |        160 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs                                  | C#        |         51 |         15 |         12 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader                          | ShaderLab |         30 |          0 |         16 |         46 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader                               | ShaderLab |         26 |          0 |          0 |         26 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Base.cs                                                           | C#        |        288 |        305 |         93 |        686 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\GridGenerator.cs                                                  | C#        |      1,365 |        917 |        406 |      2,688 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\LayerGridGraphGenerator.cs                                        | C#        |        868 |        202 |        231 |      1,301 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs                                               | C#        |        161 |         60 |         52 |        273 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs                                                    | C#        |        935 |        435 |        262 |      1,632 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs                                           | C#        |        556 |        181 |        144 |        881 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs                                       | C#        |        207 |         98 |         58 |        363 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs                                          | C#        |        143 |         81 |         40 |        264 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs                                   | C#        |        250 |        120 |         91 |        461 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\PointGenerator.cs                                                 | C#        |        435 |        223 |        109 |        767 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs                                                  | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\RecastGenerator.cs                                                | C#        |        471 |        372 |        152 |        995 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs                                               | C#        |        359 |        103 |         86 |        548 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs                                   | C#        |        279 |         93 |         69 |        441 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs                                       | C#        |        141 |         43 |         32 |        216 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs                                           | C#        |        132 |         35 |         26 |        193 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs                                      | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs                                          | C#        |         38 |         18 |         21 |         77 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs                                          | C#        |        212 |         15 |         17 |        244 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs                                          | C#        |        212 |         53 |         45 |        310 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastBBTree.cs                                         | C#        |        125 |         26 |         33 |        184 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastMeshGatherer.cs                                   | C#        |        384 |         75 |        112 |        571 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\RecastMeshObj.cs                                        | C#        |         89 |         57 |         32 |        178 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\TileHandler.cs                                          | C#        |        714 |        258 |        219 |      1,191 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\DebugUtility.cs                                  | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelClasses.cs                                  | C#        |        354 |        101 |         99 |        554 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelContour.cs                                  | C#        |        621 |         82 |        170 |        873 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelMesh.cs                                     | C#        |        217 |         73 |         64 |        354 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelPolygonClipper.cs                           | C#        |        122 |         45 |         35 |        202 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelRasterization.cs                            | C#        |        533 |        159 |        196 |        888 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelRegion.cs                                   | C#        |        476 |         78 |        157 |        711 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Generators\Utilities\Voxels\VoxelUtility.cs                                  | C#        |         39 |          8 |         11 |         58 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\Editor\LegacyAIPathEditor.cs                                          | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\Editor\LegacyEditorHelper.cs                                          | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRVOControllerEditor.cs                                   | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRichAIEditor.cs                                          | C#        |          0 |          3 |          2 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\LegacyAIPath.cs                                                       | C#        |        148 |         99 |         53 |        300 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\LegacyRVOController.cs                                                | C#        |         26 |         20 |         10 |         56 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\LegacyRichAI.cs                                                       | C#        |        176 |         64 |         52 |        292 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Legacy\MiscLegacy.cs                                                         | C#        |         63 |         71 |         19 |        153 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\AdvancedSmooth.cs                                                  | C#        |        387 |         44 |        130 |        561 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\AlternativePath.cs                                                 | C#        |         62 |         17 |         18 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\FunnelModifier.cs                                                  | C#        |         51 |         47 |         11 |        109 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\Modifiers.cs                                                       | C#        |         48 |         26 |         16 |         90 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\RadiusModifier.cs                                                  | C#        |        173 |         72 |         40 |        285 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\RaycastModifier.cs                                                 | C#        |        181 |         83 |         35 |        299 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\SimpleSmoothModifier.cs                                            | C#        |        235 |         52 |         80 |        367 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Modifiers\StartEndModifier.cs                                                | C#        |        125 |        124 |         36 |        285 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Navmesh\NavmeshAdd.cs                                                        | C#        |        139 |         71 |         38 |        248 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Navmesh\NavmeshCut.cs                                                        | C#        |        262 |        167 |         80 |        509 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Navmesh\NavmeshUpdates.cs                                                    | C#        |        155 |         85 |         43 |        283 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Navmesh\RelevantGraphSurface.cs                                              | C#        |         67 |         11 |         17 |         95 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Navmesh\TileHandlerHelper.cs                                                 | C#        |         22 |          9 |          5 |         36 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\Editor\EditorBase.cs                                            | C#        |        187 |          6 |         36 |        229 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\Editor\EditorGUIx.cs                                            | C#        |        164 |         39 |         43 |        246 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\Editor\EnumFlagDrawer.cs                                        | C#        |         32 |          3 |          5 |         40 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\Editor\OptimizationHandler.cs                                   | C#        |        123 |         11 |         21 |        155 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\EnumFlagAttribute.cs                                            | C#        |          5 |          1 |          2 |          8 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\UniqueComponentAttribute.cs                                     | C#        |          6 |          0 |          1 |          7 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\PackageTools\VersionedMonoBehaviour.cs                                       | C#        |         31 |         12 |         11 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\ABPath.cs                                                        | C#        |        387 |        260 |        107 |        754 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\ConstantPath.cs                                                  | C#        |        118 |         74 |         41 |        233 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\FleePath.cs                                                      | C#        |         15 |         40 |          5 |         60 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\FloodPath.cs                                                     | C#        |        123 |         61 |         39 |        223 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\FloodPathTracer.cs                                               | C#        |         64 |         30 |         18 |        112 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\MultiTargetPath.cs                                               | C#        |        453 |        124 |        123 |        700 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\RandomPath.cs                                                    | C#        |        153 |         73 |         57 |        283 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Pathfinders\XPath.cs                                                         | C#        |         97 |        100 |         31 |        228 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\RVO\RVOController.cs                                                         | C#        |        235 |        232 |         60 |        527 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\RVO\RVONavmesh.cs                                                            | C#        |         71 |         30 |         17 |        118 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\RVO\RVOObstacle.cs                                                           | C#        |        162 |         98 |         55 |        315 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\RVO\RVOSimulator.cs                                                          | C#        |        115 |         54 |         25 |        194 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\RVO\RVOSquareObstacle.cs                                                     | C#        |         41 |          5 |         10 |         56 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\TurnBased\BlockManager.cs                                                    | C#        |         97 |         49 |         24 |        170 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\TurnBased\SingleNodeBlocker.cs                                               | C#        |         32 |         30 |          8 |         70 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\AnimationLinkTraverser.cs                                          | C#        |         47 |         14 |         14 |         75 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\AstarChecksum.cs                                                   | C#        |         12 |          6 |          4 |         22 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\AstarMemory.cs                                                     | C#        |         50 |         48 |         12 |        110 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\AstarParallel.cs                                                   | C#        |         72 |         25 |         11 |        108 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\AstarProfiler.cs                                                   | C#        |        145 |         45 |         36 |        226 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\DotNetReplacements.cs                                              | C#        |        118 |         11 |         35 |        164 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\Funnel.cs                                                          | C#        |        267 |         91 |         75 |        433 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\GraphGizmoHelper.cs                                                | C#        |        125 |         18 |         22 |        165 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\GraphUpdateUtilities.cs                                            | C#        |         33 |         66 |         12 |        111 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\PathUtilities.cs                                                   | C#        |        263 |        193 |         81 |        537 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\ProfileHelper.cs                                                   | C#        |         99 |          5 |         20 |        124 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\RetainedGizmos.cs                                                  | C#        |        243 |         80 |         54 |        377 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Utilities\UnityReferenceHelper.cs                                            | C#        |         30 |          4 |          5 |         39 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\link.xml                                                                     | XML       |         22 |          0 |          0 |         22 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\package.json                                                                 | JSON      |          1 |          0 |          0 |          1 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Deer\Scripts\CameraFollow.cs                                                                         | C#        |         12 |          2 |          3 |         17 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Deer\Scripts\CameraLookAt.cs                                                                         | C#        |         10 |          2 |          5 |         17 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Deer\Scripts\Deer.cs                                                                                 | C#        |      1,079 |        307 |        200 |      1,586 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Editor\PathologicalGames\Common\PGEditorUtils.cs                                                     | C#        |        684 |        289 |        172 |      1,145 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Editor\PathologicalGames\PoolManager\PreRuntimePoolItemInspector.cs                                  | C#        |         22 |         10 |          8 |         40 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Editor\PathologicalGames\PoolManager\SpawnPoolInspector.cs                                           | C#        |         33 |         10 |         15 |         58 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\GardenHouse\3D SCRIPT\ExampleRenderScale.cs                                                          | C#        |         14 |          0 |          2 |         16 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\GardenHouse\3D SHADER\Grass.shader                                                                   | ShaderLab |         40 |          2 |          9 |         51 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\GardenHouse\3D SHADER\Terrain.shader                                                                 | ShaderLab |         52 |          3 |          6 |         61 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\BackspaceKey.cs                                                        | C#        |         13 |         12 |          6 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\CancelKey.cs                                                           | C#        |         12 |         12 |          5 |         29 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\ClearKey.cs                                                            | C#        |         13 |         12 |          6 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Controller.cs                                                          | C#        |         37 |         14 |         13 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\EnterKey.cs                                                            | C#        |         12 |         12 |          5 |         29 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Example\DemoScene.cs                                                   | C#        |         78 |         40 |         25 |        143 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\HandCollider.cs                                                        | C#        |         18 |          9 |          6 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Key.cs                                                                 | C#        |        109 |         42 |         44 |        195 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Keyboard.cs                                                            | C#        |        311 |        114 |        139 |        564 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Layout.cs                                                              | C#        |         26 |         20 |         21 |         67 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\LayoutList.cs                                                          | C#        |         21 |         20 |          7 |         48 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Layouts\Dvorak.cs                                                      | C#        |         14 |         12 |         10 |         36 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Layouts\French.cs                                                      | C#        |         25 |         13 |         21 |         59 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\LetterKey.cs                                                           | C#        |         26 |         12 |         10 |         48 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Mallet.cs                                                              | C#        |         43 |         20 |         18 |         81 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\Placement.cs                                                           | C#        |        120 |         15 |         44 |        179 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\ShiftKey.cs                                                            | C#        |         21 |         12 |          9 |         42 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\SpaceKey.cs                                                            | C#        |         13 |         12 |          6 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\IRONHEAD Games\VRKeys\Scripts\VRKeyboardManager.cs                                                   | C#        |         93 |         22 |         36 |        151 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scenes\Scripts\TestScript.cs                                                     | C#        |         22 |          4 |         11 |         37 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\AmbienceEmitter.cs                                                 | C#        |         74 |         33 |         12 |        119 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\AudioManager.cs                                                    | C#        |        294 |        101 |         35 |        430 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\AudioManager_Sound.cs                                              | C#        |        491 |        225 |         83 |        799 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\AudioImportPostProcessor.cs                                 | C#        |         28 |         14 |          5 |         47 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\AudioManagerInspector.cs                                    | C#        |        447 |        114 |         71 |        632 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\MinMaxPropertyDrawer.cs                                     | C#        |         42 |         20 |          9 |         71 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\MixerSnapshotPropertyDrawer.cs                              | C#        |         24 |         15 |         12 |         51 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\OSPPropsPropertyDrawer.cs                                   | C#        |         42 |         18 |          7 |         67 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\SoundFXPropertyDrawer.cs                                    | C#        |         41 |         17 |         10 |         68 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\Editor\SoundFXRefPropertyDrawer.cs                                 | C#        |         41 |         14 |          8 |         63 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\MinMaxAttribute.cs                                                 | C#        |         16 |          7 |          4 |         27 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\SoundEmitter.cs                                                    | C#        |        249 |        145 |         40 |        434 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\SoundFX.cs                                                         | C#        |        206 |         75 |         31 |        312 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Audio\SoundFXRef.cs                                                      | C#        |         58 |         69 |         18 |        145 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Utils\Editor\DrawerInspectorNote.cs                                      | C#        |         57 |          8 |         13 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Utils\FastList.cs                                                        | C#        |        223 |         22 |         39 |        284 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\AudioManager\Scripts\Utils\InspectorNoteAttribute.cs                                          | C#        |         17 |         14 |          5 |         36 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarMaterialStateShader.cginc                                    | HLSL      |        289 |          0 |         30 |        319 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarPBRV2Simple.shader                                           | ShaderLab |         49 |          4 |         11 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarSurfaceShader.shader                                         | ShaderLab |        116 |          9 |         17 |        142 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarSurfaceShaderPBS.shader                                      | ShaderLab |         61 |          4 |         15 |         80 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarSurfaceShaderPBSV2.shader                                    | ShaderLab |         31 |          2 |          6 |         39 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\AvatarSurfaceShaderSelfOccluding.shader                            | ShaderLab |        143 |         10 |         23 |        176 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Expressive\AvatarEyeLens.shader                                    | ShaderLab |         68 |          7 |         12 |         87 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Expressive\Avatar_Mobile_CombinedMeshExpressive.shader             | ShaderLab |        185 |         48 |         48 |        281 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Expressive\Avatar_Mobile_SingleComponentExpressive.shader          | ShaderLab |        186 |         44 |         42 |        272 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Expressive\Avatar_PC_SingleComponentExpressive.shader              | ShaderLab |        148 |         33 |         35 |        216 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Version1.5\Avatar_Mobile_CombinedMesh.shader                       | ShaderLab |        131 |         40 |         37 |        208 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Version1.5\Avatar_Mobile_Loader.shader                             | ShaderLab |         94 |         18 |         24 |        136 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Version1.5\Avatar_Mobile_SingleComponent.shader                    | ShaderLab |        134 |         35 |         31 |        200 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Resources\Materials\Version1.5\Avatar_PC_SingleComponent.shader                        | ShaderLab |         74 |         21 |         19 |        114 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\AvatarGallery\Scripts\OvrAvatarTestDriver.cs                                   | C#        |         69 |          0 |         10 |         79 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\GripPoses\Scripts\PoseEditHelper.cs                                            | C#        |         27 |          0 |          5 |         32 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\LocalAvatar\Scripts\GazeTargetSpawner.cs                                       | C#        |         44 |          1 |          4 |         49 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\RemoteLoopback\Scripts\RemoteLoopbackManager.cs                                | C#        |        127 |          0 |         29 |        156 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\SocialStarter\Assets\Scripts\P2PManager.cs                                     | C#        |        181 |         10 |         42 |        233 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\SocialStarter\Assets\Scripts\PlayerController.cs                               | C#        |         71 |         13 |         18 |        102 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\SocialStarter\Assets\Scripts\RemotePlayer.cs                                   | C#        |         17 |          7 |          9 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Avatar\Samples\SocialStarter\Assets\Scripts\RoomManager.cs                                    | C#        |        167 |         16 |         43 |        226 |
